今どんな,ねえ、今どんな気持ち？どんな気持ち？,Kiritan
さすゆか,さすがです！ゆかりさん！,Kiritan
エビ,エビフライ,seyana
うち,ウチナー,seyana
俺,ウチナー,seyana
私,ウチナー,seyana
自分,ウチナー,seyana
海老,エビフライ,seyana
やで,ヤデー,seyana
やな,ヤデー,seyana
あ,セヤナー,seyana
い,セヤナー,seyana
う,セヤナー,seyana
え,セヤナー,seyana
お,セヤナー,seyana
か,セヤナー,seyana
き,セヤナー,seyana
く,セヤナー,seyana
け,セヤナー,seyana
こ,セヤナー,seyana
さ,セヤナー,seyana
し,セヤナー,seyana
す,セヤナー,seyana
せ,セヤナー,seyana
そ,セヤナー,seyana
た,セヤナー,seyana
ち,セヤナー,seyana
つ,セヤナー,seyana
て,セヤナー,seyana
と,セヤナー,seyana
な,セヤナー,seyana
に,セヤナー,seyana
ぬ,セヤナー,seyana
ね,セヤナー,seyana
の,セヤナー,seyana
は,セヤナー,seyana
ひ,セヤナー,seyana
ふ,セヤナー,seyana
へ,セヤナー,seyana
ほ,セヤナー,seyana
ま,セヤナー,seyana
み,セヤナー,seyana
む,セヤナー,seyana
め,セヤナー,seyana
も,セヤナー,seyana
ま,セヤナー,seyana
み,セヤナー,seyana
む,セヤナー,seyana
め,セヤナー,seyana
も,セヤナー,seyana
や,セヤナー,seyana
ゆ,セヤナー,seyana
よ,セヤナー,seyana
ら,セヤナー,seyana
り,セヤナー,seyana
る,セヤナー,seyana
れ,セヤナー,seyana
ろ,セヤナー,seyana
わ,セヤナー,seyana
を,セヤナー,seyana
ん,セヤナー,seyana
が,セヤナー,seyana
ぎ,セヤナー,seyana
ぐ,セヤナー,seyana
げ,セヤナー,seyana
ご,セヤナー,seyana
ざ,セヤナー,seyana
じ,セヤナー,seyana
ず,セヤナー,seyana
ぜ,セヤナー,seyana
ぞ,セヤナー,seyana
だ,セヤナー,seyana
ぢ,セヤナー,seyana
づ,セヤナー,seyana
で,セヤナー,seyana
ど,セヤナー,seyana
ば,セヤナー,seyana
び,セヤナー,seyana
ぶ,セヤナー,seyana
べ,セヤナー,seyana
ぼ,セヤナー,seyana
ぱ,セヤナー,seyana
ぴ,セヤナー,seyana
ぷ,セヤナー,seyana
ぺ,セヤナー,seyana
ぽ,セヤナー,seyana
ア,セヤナー,seyana
イ,セヤナー,seyana
ウ,セヤナー,seyana
エ,セヤナー,seyana
オ,セヤナー,seyana
カ,セヤナー,seyana
キ,セヤナー,seyana
ク,セヤナー,seyana
ケ,セヤナー,seyana
コ,セヤナー,seyana
サ,セヤナー,seyana
シ,セヤナー,seyana
ス,セヤナー,seyana
セ,セヤナー,seyana
ソ,セヤナー,seyana
タ,セヤナー,seyana
チ,セヤナー,seyana
ツ,セヤナー,seyana
テ,セヤナー,seyana
ト,セヤナー,seyana
ナ,セヤナー,seyana
ニ,セヤナー,seyana
ヌ,セヤナー,seyana
ネ,セヤナー,seyana
ノ,セヤナー,seyana
ハ,セヤナー,seyana
ヒ,セヤナー,seyana
フ,セヤナー,seyana
ヘ,セヤナー,seyana
ホ,セヤナー,seyana
マ,セヤナー,seyana
ミ,セヤナー,seyana
ム,セヤナー,seyana
メ,セヤナー,seyana
モ,セヤナー,seyana
ヤ,セヤナー,seyana
ユ,セヤナー,seyana
ヨ,セヤナー,seyana
ラ,セヤナー,seyana
リ,セヤナー,seyana
ル,セヤナー,seyana
レ,セヤナー,seyana
ロ,セヤナー,seyana
ワ,セヤナー,seyana
ヲ,セヤナー,seyana
ン,セヤナー,seyana
ガ,セヤナー,seyana
ギ,セヤナー,seyana
グ,セヤナー,seyana
ゲ,セヤナー,seyana
ゴ,セヤナー,seyana
ザ,セヤナー,seyana
ジ,セヤナー,seyana
ズ,セヤナー,seyana
ゼ,セヤナー,seyana
ゾ,セヤナー,seyana
ダ,セヤナー,seyana
ヂ,セヤナー,seyana
ヅ,セヤナー,seyana
デ,セヤナー,seyana
ド,セヤナー,seyana
バ,セヤナー,seyana
ビ,セヤナー,seyana
ブ,セヤナー,seyana
ベ,セヤナー,seyana
ボ,セヤナー,seyana
パ,セヤナー,seyana
ピ,セヤナー,seyana
プ,セヤナー,seyana
ペ,セヤナー,seyana
ポ,セヤナー,seyana
a,セヤナー,seyana
i,セヤナー,seyana
u,セヤナー,seyana
e,セヤナー,seyana
o,セヤナー,seyana
A,セヤナー,seyana
I,セヤナー,seyana
U,セヤナー,seyana
E,セヤナー,seyana
O,セヤナー,seyana
 ,セヤナー,seyana
　,セヤナー,seyana